1713270342302 - supply_constant, rti_index: 2
1713270342302 - react, rti_index: 7
1713270342302 - consume, rti_index: 8
1713270342302 - sink, rti_index: 9
1713270342302 - react, rti_index: 3
1713270342302 - consume, rti_index: 4
1713270342302 - supply_from_location, rti_index: 1
1713270342302 - consume, rti_index: 6
1713270342302 - supply_from_location, rti_index: 2
1713270342302 - react, rti_index: 8
1713270342303 - consume, rti_index: 9
1713270342303 - sink, rti_index: 10
1713270640781 - supply_from_location, rti_index: 1
1713270640790 - lookup, rti_index: 0
1713270640790 - supply_from_location, rti_index: 1
1713270640790 - supply_from_location, rti_index: 2
1713270640791 - react, rti_index: 3
1713270640791 - consume, rti_index: 4
1713270640791 - supply_from_location, rti_index: 1
1713270640791 - supply_constant, rti_index: 2
1713270640791 - react, rti_index: 7
1713270640791 - consume, rti_index: 8
1713270640791 - sink, rti_index: 9
1713270640791 - react, rti_index: 1
1713270640791 - supply_from_location, rti_index: 1
1713270640791 - lookup, rti_index: 0
1713270640792 - supply_from_location, rti_index: 1
1713270640792 - supply_from_location, rti_index: 2
1713270640792 - react, rti_index: 3
1713270640792 - consume, rti_index: 4
1713270640792 - supply_from_location, rti_index: 1
1713270640792 - supply_constant, rti_index: 2
1713270640792 - react, rti_index: 7
1713270640792 - consume, rti_index: 8
1713270640792 - sink, rti_index: 9
1713270640792 - react, rti_index: 3
1713270640792 - consume, rti_index: 4
1713270640793 - supply_from_location, rti_index: 1
1713270640793 - consume, rti_index: 6
1713270640793 - supply_from_location, rti_index: 2
1713270640793 - react, rti_index: 8
1713270640793 - consume, rti_index: 9
1713270640793 - sink, rti_index: 10
1713270640793 - supply_from_location, rti_index: 1
1713270640793 - lookup, rti_index: 0
1713270640793 - supply_from_location, rti_index: 1
1713270640793 - supply_from_location, rti_index: 2
1713270640794 - react, rti_index: 3
1713270640794 - consume, rti_index: 4
1713270640794 - supply_from_location, rti_index: 1
1713270640794 - supply_constant, rti_index: 2
1713270640794 - react, rti_index: 7
1713270640794 - consume, rti_index: 8
1713270640794 - sink, rti_index: 9
1713270640794 - react, rti_index: 1
1713270640794 - supply_from_location, rti_index: 1
1713270640794 - lookup, rti_index: 0
1713270640794 - supply_from_location, rti_index: 1
1713270640794 - supply_from_location, rti_index: 2
1713270640794 - react, rti_index: 3
